day,price_usd,daily_return,rolling_vol_7d
2024-06-07,3678.32,-0.03543763406460276,0.018345617301820716
2024-06-08,3681.57,0.0008835555362229908,0.016883145994557525
2024-06-09,3706.4,0.0067444052401557375,0.017292773795848784
2024-06-10,3667.85,-0.010400928124325581,0.017540446677098278
2024-06-11,3497.33,-0.046490450809057116,0.022251212370292615
2024-06-12,3560.12,0.01795369610531461,0.0229369992820277
2024-06-13,3469.4,-0.025482287113917423,0.023551823482144782
2024-06-14,3481.8,0.003574105032570607,0.021968436423164036
2024-06-15,3568.74,0.024969843184559526,0.025171882169507498
2024-06-16,3624.41,0.015599343185550119,0.026019529436925384
2024-06-17,3511.46,-0.031163692849318858,0.028116488647045742
2024-06-18,3483.42,-0.007985282475095778,0.02192909765896075
2024-06-19,3560.51,0.022130549861917315,0.022558331968996963
2024-06-20,3513.08,-0.013321125344402995,0.020633873623213242
2024-06-21,3518.5,0.0015428057431086106,0.02062186665891077
2024-06-22,3495.75,-0.006465823504334223,0.017955714520313793
2024-06-23,3420.91,-0.021408853607952527,0.017058102111509117
2024-06-24,3352.73,-0.01993036940463211,0.014920781277007647
2024-06-25,3394.91,0.01258079236920362,0.016516969939730137
2024-06-26,3371.44,-0.00691329077943148,0.012027702172821413
2024-06-27,3450.44,0.02343212395890193,0.01639512520277159
2024-06-28,3380.15,-0.02037131496272937,0.017556331861431917
2024-06-29,3378.8,-0.00039939055959048453,0.017654906761896055
2024-06-30,3438.16,0.01756836746773982,0.017659110981015236
2024-07-01,3442.2,0.0011750471182259137,0.01514161485291741
2024-07-02,3421.35,-0.006057172738364924,0.014992014352019089
2024-07-03,3295.48,-0.036789571368027185,0.020811556201519796
2024-07-04,3059.7,-0.07154648184786438,0.029715291006459244
2024-07-05,2981.78,-0.025466549008072548,0.02988409330275911
2024-07-06,3066.83,0.0285232310901542,0.03429388946463014
2024-07-07,2931.0,-0.04429003237871021,0.03298047931359621
2024-07-08,3019.01,0.030027294438758068,0.03781716782301087
2024-07-09,3066.65,0.01578000735340379,0.039809260863879155
2024-07-10,3101.05,0.011217452268762251,0.03952850094769614
2024-07-11,3099.57,-0.0004772577030360825,0.027889453073271977
2024-07-12,3133.88,0.011069277351374529,0.025134162296690195
2024-07-13,3175.93,0.013417871775562418,0.023622024553782373
2024-07-14,3245.08,0.021773149911994416,0.009516861314409422
2024-07-15,3483.39,0.07343732666066782,0.024119531060726986
2024-07-16,3444.13,-0.011270630047166663,0.0270618946108069
2024-07-17,3387.05,-0.01657312586923254,0.029941026450372468
2024-07-18,3426.5,0.011647303700860645,0.02937311226300984
2024-07-19,3503.53,0.022480665402013766,0.029449029587701292
2024-07-20,3517.5,0.003987406986667663,0.029822390684814917
2024-07-21,3535.92,0.005236673773987288,0.02985774510395077
2024-07-22,3439.6,-0.02724043530396625,0.0173610472973551
2024-07-23,3482.51,0.012475287824165626,0.01749326584995896
2024-07-24,3335.81,-0.04212478930426622,0.023559683459509043
2024-07-25,3175.48,-0.04806328897629064,0.028179416594236256
2024-07-26,3274.61,0.031217327774068826,0.030015430031710612
2024-07-27,3249.01,-0.007817724858838138,0.029476751685976636
2024-07-28,3270.16,0.00650967525492363,0.029596600457032076
2024-07-29,3317.66,0.014525283166572978,0.029919343618250282
2024-07-30,3279.21,-0.011589493799846862,0.028977422952578054
2024-07-31,3232.74,-0.014171096087167379,0.025201930788656058
2024-08-01,3203.4,-0.009075892277139452,0.01679953274912199
2024-08-02,2989.61,-0.06673846538053319,0.026047103204427692
2024-08-03,2903.64,-0.028756259177618593,0.026599776964388765
2024-08-04,2688.92,-0.07394856111639181,0.032233531722042776
2024-08-05,2419.59,-0.10016289067729789,0.036420429143816054
2024-08-06,2461.33,0.017250856550076632,0.0418564529737597
2024-08-07,2342.8,-0.04815689078668839,0.040391575478570994
2024-08-08,2682.5,0.14499743896192574,0.0826316094771633
2024-08-09,2598.78,-0.031209692451071636,0.08050490083611021
2024-08-10,2609.92,0.004286626801806914,0.08067886732639981
2024-08-11,2555.38,-0.020897192251103425,0.07630919557117255
2024-08-12,2722.3,0.06532100900844506,0.06691175451472568
2024-08-13,2702.44,-0.007295301766888307,0.06764556385689725
2024-08-14,2661.45,-0.015167774307662807,0.06351126187399767
